transaction_id,item
1,milk
1,bread
1,butter
2,milk
2,bread
3,beer
3,diapers
3,chips
4,milk
4,bread
4,butter
5,diapers
5,beer
6,milk
6,diapers
7,bread
7,butter
8,milk
8,bread
8,butter
8,diapers
8,beer
9,credit_card
9,travel_insurance
10,credit_card
10,personal_loan
10,travel_insurance
11,laptop
11,mouse
11,bag
12,laptop
12,bag
13,milk
13,bread
14,beer
14,diapers
15,credit_card
15,travel_insurance
16,laptop
16,mouse
17,milk
17,bread
17,butter
18,beer
18,diapers
19,credit_card
19,travel_insurance
20,laptop
20,bag
